review_id,product_id,entity_id,begin_offset,sentiment_score,sentiment_magnitude,content,type
1,1,1,21,0.8999999761581421,0.8999999761581421,coffee maker,COMMON
1,1,2,40,0.5,0.5,reservoir,COMMON
1,1,3,138,0.8999999761581421,0.8999999761581421,coffee,COMMON
1,1,4,208,0.0,0.0,coffees,COMMON
1,1,5,191,0.4000000059604645,0.4000000059604645,flavors,COMMON
1,1,6,237,0.5,0.5,Teas,COMMON
1,1,7,185,0.30000001192092896,0.30000001192092896,K-Cup,PROPER
1,1,8,219,0.0,0.0,Hot Chocolate,PROPER
1,1,9,171,0.20000000298023224,0.20000000298023224,brands,COMMON
2,1,1,38,-0.699999988079071,0.699999988079071,Problem,COMMON
2,1,1,49,-0.20000000298023224,0.20000000298023224,half,COMMON
2,1,2,5,0.20000000298023224,0.20000000298023224,product,COMMON
2,1,3,98,-0.30000001192092896,0.30000001192092896,Water,COMMON
2,1,4,126,-0.10000000149011612,0.10000000149011612,container,COMMON
2,1,5,139,0.0,0.0,coffee maker,COMMON
2,1,6,217,0.0,0.0,alternatives,COMMON
3,1,1,55,0.10000000149011612,0.10000000149011612,reservoir,COMMON
3,1,2,22,0.4000000059604645,0.4000000059604645,no frills,COMMON
3,1,3,116,0.6000000238418579,0.6000000238418579,reservoir,COMMON
3,1,4,41,0.10000000149011612,0.10000000149011612,Keurig,PROPER
3,1,5,142,0.4000000059604645,0.4000000059604645,coffee,COMMON
5,1,1,36,0.10000000149011612,0.10000000149011612,DIFFERENCE,COMMON
5,1,2,14,0.0,0.0,COFFEE PRESS,COMMON
5,1,3,76,0.5,0.5,IT,COMMON
6,1,1,26,0.0,0.0,employee,COMMON
6,1,2,14,0.0,0.0,gift,COMMON
6,1,3,53,0.699999988079071,0.699999988079071,households,COMMON
7,1,1,5,-0.8999999761581421,0.8999999761581421,coffee maker,COMMON
7,1,2,143,-0.10000000149011612,0.10000000149011612,owners manual,COMMON
7,1,3,51,0.0,0.0,cups,COMMON
7,1,4,59,-0.20000000298023224,0.20000000298023224,coffee,COMMON
7,1,5,183,-0.8999999761581421,0.8999999761581421,nothing,COMMON
8,1,1,20,-0.30000001192092896,0.30000001192092896,coffee,COMMON
8,1,2,47,-0.800000011920929,0.800000011920929,fact,COMMON
8,1,3,111,-0.20000000298023224,0.20000000298023224,chamber,COMMON
8,1,4,56,-0.5,0.5,water,COMMON
8,1,5,185,0.4000000059604645,0.4000000059604645,Im,COMMON
8,1,6,127,-0.20000000298023224,0.20000000298023224,health hazard,COMMON
8,1,7,150,0.0,0.0,chance,COMMON
8,1,8,160,0.10000000149011612,0.10000000149011612,bacteria,COMMON
8,1,9,218,0.10000000149011612,0.10000000149011612,refund,COMMON
9,1,1,14,-0.20000000298023224,0.20000000298023224,product,COMMON
9,1,2,167,-0.699999988079071,0.699999988079071,water,COMMON
9,1,3,115,-0.10000000149011612,0.10000000149011612,both,COMMON
9,1,4,133,-0.800000011920929,0.800000011920929,issues,COMMON
9,1,5,146,0.0,0.0,pump,COMMON
9,1,6,255,-0.20000000298023224,0.20000000298023224,Keurig,PROPER
10,1,1,7,0.0,0.0,one,COMMON
10,1,2,19,0.0,0.0,house,COMMON
10,1,3,140,0.10000000149011612,0.10000000149011612,side,COMMON
10,1,4,119,0.0,0.0,price,COMMON
10,1,5,85,0.0,0.0,starbucks,COMMON
10,1,6,98,0.0,0.0,home,COMMON
10,1,7,164,0.0,0.0,water reservoir,COMMON
11,1,1,25,-0.4000000059604645,0.4000000059604645,Keurig,PROPER
11,1,1,454,0.0,0.0,Keurig,PROPER
11,1,2,13,-0.8999999761581421,0.8999999761581421,Cuisinart,PROPER
11,1,3,192,-0.4000000059604645,0.4000000059604645,water,COMMON
11,1,4,803,-0.800000011920929,0.800000011920929,problem,COMMON
11,1,4,818,0.0,0.0,air bubble,COMMON
11,1,5,545,-0.10000000149011612,0.10000000149011612,coffee maker,COMMON
11,1,6,664,-0.10000000149011612,0.10000000149011612,carafe,COMMON
11,1,7,142,-0.20000000298023224,0.20000000298023224,coffee,COMMON
11,1,8,221,0.0,0.0,machine,COMMON
11,1,9,314,-0.20000000298023224,0.20000000298023224,understatement,COMMON
11,1,10,134,-0.20000000298023224,0.20000000298023224,cups,COMMON
11,1,11,513,-0.30000001192092896,0.30000001192092896,water container,COMMON
11,1,12,334,0.0,0.0,course,COMMON
11,1,13,678,0.0,0.0,water,COMMON
11,1,14,760,0.0,0.0,water,COMMON
11,1,15,359,0.0,0.0,box,COMMON
11,1,16,272,0.10000000149011612,0.10000000149011612,needle,COMMON
11,1,17,735,-0.30000001192092896,0.30000001192092896,container,COMMON
11,1,18,494,0.0,0.0,try,COMMON
11,1,19,698,0.0,0.0,working,COMMON
11,1,20,832,-0.10000000149011612,0.10000000149011612,one,COMMON
11,1,21,779,-0.10000000149011612,0.10000000149011612,pitcher,COMMON
11,1,22,843,0.0,0.0,lines,COMMON
11,1,23,628,-0.4000000059604645,0.4000000059604645,air,COMMON
11,1,24,587,-0.20000000298023224,0.20000000298023224,counter,COMMON
12,1,1,5,0.8999999761581421,0.8999999761581421,thing,COMMON
12,1,2,68,0.10000000149011612,0.10000000149011612,coffees,COMMON
12,1,3,24,0.8999999761581421,0.8999999761581421,bread- love,COMMON
12,1,4,106,0.30000001192092896,0.30000001192092896,pot,COMMON
13,1,1,19,0.6000000238418579,0.6000000238418579,Keurig,PROPER
13,1,1,200,-0.10000000149011612,0.10000000149011612,Keurig,PROPER
13,1,2,55,0.0,0.0,one,COMMON
13,1,3,78,0.0,0.0,Amazon,PROPER
13,1,4,133,-0.5,0.5,box,COMMON
13,1,5,152,-0.699999988079071,0.699999988079071,hassle,COMMON
14,1,1,70,-0.30000001192092896,0.30000001192092896,Home units,COMMON
14,1,2,63,-0.20000000298023224,0.20000000298023224,money,COMMON
14,1,3,109,-0.800000011920929,0.800000011920929,thing,COMMON
15,1,1,14,0.10000000149011612,0.10000000149011612,product,COMMON
15,1,2,55,0.0,0.0,coffee drinker,COMMON
15,1,3,113,0.6000000238418579,0.6000000238418579,cup,COMMON
16,1,1,0,0.4000000059604645,0.4000000059604645,Wedding gift,COMMON
17,1,1,12,-0.8999999761581421,0.8999999761581421,Keurig,PROPER
17,1,2,21,-0.10000000149011612,0.10000000149011612,hen,COMMON
17,1,3,35,-0.699999988079071,0.699999988079071,K-cup,COMMON
17,1,4,66,-0.8999999761581421,0.8999999761581421,mess,COMMON
17,1,5,115,-0.30000001192092896,0.30000001192092896,model,COMMON
17,1,6,84,0.0,0.0,counter,COMMON
18,1,1,29,-0.20000000298023224,0.20000000298023224,water,COMMON
18,1,2,66,0.0,0.0,gift,COMMON
18,1,3,77,-0.30000001192092896,0.30000001192092896,person,COMMON
19,1,1,38,-0.8999999761581421,0.8999999761581421,Keurig,PROPER
19,1,2,87,0.30000001192092896,0.30000001192092896,thing,COMMON
19,1,3,159,0.0,0.0,use,COMMON
19,1,4,176,0.0,0.0,pictures,COMMON
20,1,1,27,0.0,0.0,teas,COMMON
20,1,2,44,0.8999999761581421,0.8999999761581421,convenience,COMMON
22,1,1,8,0.8999999761581421,0.8999999761581421,product,COMMON
22,1,2,56,0.5,0.5,stars,COMMON
22,1,3,46,0.8999999761581421,0.8999999761581421,kitchen,COMMON
23,1,1,6,0.8999999761581421,0.8999999761581421,product,COMMON
23,1,2,19,0.8999999761581421,0.8999999761581421,service,COMMON
23,1,3,30,0.30000001192092896,0.30000001192092896,vender,COMMON
24,1,1,44,-0.8999999761581421,0.8999999761581421,cup,COMMON
24,1,2,51,-0.800000011920929,0.800000011920929,coffee,COMMON
25,1,1,22,0.800000011920929,0.800000011920929,results,COMMON
26,1,1,22,0.699999988079071,0.699999988079071,friend,COMMON
27,1,1,0,-0.8999999761581421,0.8999999761581421,Crap,COMMON
27,1,2,62,0.0,0.0,window,COMMON
28,1,1,6,0.8999999761581421,0.8999999761581421,product,COMMON
29,1,1,4,0.0,0.0,color,COMMON
30,1,1,0,0.8999999761581421,0.8999999761581421,Works,COMMON
32,1,1,5,0.8999999761581421,0.8999999761581421,investment,COMMON
33,1,1,8,0.8999999761581421,0.8999999761581421,addition,COMMON
33,1,2,23,0.10000000149011612,0.10000000149011612,kitchen,COMMON
34,1,1,0,0.8999999761581421,0.8999999761581421,Nice,PROPER
34,1,2,17,0.8999999761581421,0.8999999761581421,cup,COMMON
34,1,3,24,0.8999999761581421,0.8999999761581421,coffe,COMMON
35,1,1,0,0.8999999761581421,0.8999999761581421,Works,COMMON
37,1,1,9,0.699999988079071,0.699999988079071,keurig,COMMON
37,1,2,62,-0.5,0.5,model,COMMON
37,1,3,134,-0.20000000298023224,0.20000000298023224,tank,COMMON
39,1,1,0,0.8999999761581421,0.8999999761581421,Great machine,COMMON
39,1,2,25,0.8999999761581421,0.8999999761581421,price,COMMON
40,1,1,17,-0.800000011920929,0.800000011920929,water,COMMON
40,1,2,63,0.6000000238418579,0.6000000238418579,water,COMMON
42,1,1,4,0.800000011920929,0.800000011920929,heating element,COMMON
43,1,1,9,-0.5,0.5,trouble,COMMON
43,1,2,26,-0.10000000149011612,0.10000000149011612,water container,COMMON
44,1,1,41,0.0,0.0,cup,COMMON
44,1,2,109,0.20000000298023224,0.20000000298023224,cup size,COMMON
44,1,3,45,0.0,0.0,Kuerig,PROPER
44,1,4,66,0.8999999761581421,0.8999999761581421,decision,COMMON
44,1,5,158,0.30000001192092896,0.30000001192092896,brews,COMMON
45,1,1,5,-0.4000000059604645,0.4000000059604645,machine,COMMON
45,1,2,55,-0.20000000298023224,0.20000000298023224,power button,COMMON
45,1,3,30,-0.30000001192092896,0.30000001192092896,hum,COMMON
46,1,1,5,0.8999999761581421,0.8999999761581421,product,COMMON
46,1,2,19,0.8999999761581421,0.8999999761581421,value,COMMON
47,1,1,12,0.8999999761581421,0.8999999761581421,beverage station,COMMON
